variable,Not_Readmitted,Readmitted,MeanDecreaseAccuracy,MeanDecreaseGini,Overall
hemoglobin_level,-0.5805040761224035,-0.4214013913733218,-0.679596167793259,249.59452862891092,249.59452862891092
hb_a1c_level,-1.0262529291670386,-1.1581881617068321,-1.57353554982338,247.31666317115162,247.31666317115162
time_since_last_discharge,1.6882422396447976,-0.6030713801128051,0.76958003174057,241.07661569009656,241.07661569009656
creatinine_level,0.9837842725797452,-0.61057777463571306,0.26378774049179243,239.0614119019309,239.0614119019309
age,0.6037407864630818,1.5366786039932077,1.4828351194093048,227.79305826633237,227.79305826633237
medication_adherence_score,0.22865131673749078,0.7803066234170134,0.7496592202622497,224.73240119893958,224.73240119893958
average_systolic_bp,-0.786141293632677,1.2518455104623936,0.38614963674535546,223.98030786596962,223.98030786596962
length_of_stay,0.31567472982311673,0.8471004466126458,0.7883675028415553,179.85005678781624,179.85005678781624
number_of_medications,4.255727934020026,3.453313991536583,5.5335011847038,169.64729276907326,169.64729276907326
primary_diagnosis_group,-1.0860095796404692,0.3172687511524658,-0.5541235513433163,144.99006005135945,144.99006005135945
socioeconomic_risk_score,0.640164701560707,0.5111378996403468,0.8379010236877932,139.34023026770785,139.34023026770785
severity_score,1.182850255590233,0.8772246775567049,1.4017168436465561,135.90440744662538,135.90440744662538
comorbidity_index,-1.2235925064312638,-0.7501154638170928,-1.3742246028370562,109.75063727607,109.75063727607
medication_change_count,1.852845234753867,-2.644700006064846,-0.5265912404972342,102.0243354681069,102.0243354681069
chronic_disease_count,0.052729831514875515,1.1107840538924232,0.828714545406345,100.77552413363291,100.77552413363291
previous_admissions_6m,3.0839945012420027,1.1079136517573973,2.8329735274510672,98.84745671713542,98.84745671713542
previous_readmissions_1y,0.4248780123554961,1.3437197719451008,1.2419389119134834,78.49493261551896,78.49493261551896
discharge_disposition,-1.5692072300896207,-1.5957379753499268,-2.1003691967502407,73.35000179105712,73.35000179105712
insurance_type,-1.6855860032474752,-1.0010606819178254,-1.8648662133900218,73.29455554579735,73.29455554579735
admission_type,-1.855507789389905,-0.18946016226273443,-1.5000724084003092,72.82719841961973,72.82719841961973
gender,-0.3716600354213185,-0.6022124642205793,-0.7098287459249208,34.19550204726149,34.19550204726149
followup_appointment_scheduled,-1.9208611120129715,-1.475760717378773,-2.2766756727122752,31.104320466859967,31.104320466859967
high_risk_medication_flag,-0.9192838795496204,-0.6025421636986346,-1.1273737239058128,29.15807390680941,29.15807390680941
icu_stay_flag,0.7671983044793481,-0.4184002173165252,0.23406612717381317,27.486150109967603,27.486150109967603
